STATIONS_ID;MESS_DATUM;QN_4;N_TER;CD_TER;eor
       1443;2007052718;    3;-999;-999;eor
       1443;2007052806;    3;-999;-999;eor
       1443;2007052812;    3;-999;-999;eor
       1443;2007052818;    3;-999;-999;eor
       1443;2007052906;    3;-999;-999;eor
       1443;2007052912;    3;-999;-999;eor
       1443;2007052918;    3;-999;-999;eor
       1443;2007053006;    3;-999;-999;eor
       1443;2007053012;    3;-999;-999;eor
       1443;2007053018;    3;-999;-999;eor
       1443;2007053106;    3;-999;-999;eor
       1443;2007053112;    3;-999;-999;eor
       1443;2007053118;    3;-999;-999;eor
       1443;2007060106;    3;-999;-999;eor
       1443;2007060112;    3;-999;-999;eor
       1443;2007060118;    3;-999;-999;eor
       1443;2007060206;    3;-999;-999;eor
       1443;2007060212;    3;-999;-999;eor
       1443;2007060218;    3;-999;-999;eor
       1443;2007060306;    3;-999;-999;eor
       1443;2007060312;    3;-999;-999;eor
       1443;2007060318;    3;-999;-999;eor
       1443;2007060406;    3;-999;-999;eor
       1443;2007060412;    3;-999;-999;eor
       1443;2007060418;    3;-999;-999;eor
       1443;2007060506;    3;-999;-999;eor
       1443;2007060512;    3;-999;-999;eor
       1443;2007060518;    3;-999;-999;eor
       1443;2007060606;    3;-999;-999;eor
       1443;2007060612;    3;-999;-999;eor
       1443;2007060618;    3;-999;-999;eor
       1443;2007060706;    3;-999;-999;eor
       1443;2007060712;    3;-999;-999;eor
       1443;2007060718;    3;-999;-999;eor
       1443;2007060806;    3;-999;-999;eor
       1443;2007060812;    3;-999;-999;eor
       1443;2007060818;    3;-999;-999;eor
       1443;2007060906;    3;-999;-999;eor
       1443;2007060912;    3;-999;-999;eor
       1443;2007060918;    3;-999;-999;eor
       1443;2007061006;    3;-999;-999;eor
       1443;2007061012;    3;-999;-999;eor
       1443;2007061018;    3;-999;-999;eor
       1443;2007061106;    3;-999;-999;eor
       1443;2007061112;    3;-999;-999;eor
       1443;2007061118;    3;-999;-999;eor
       1443;2007061206;    3;-999;-999;eor
       1443;2007061212;    3;-999;-999;eor
       1443;2007061218;    3;-999;-999;eor
       1443;2007061306;    3;-999;-999;eor
       1443;2007061312;    3;-999;-999;eor
       1443;2007061318;    3;-999;-999;eor
       1443;2007061406;    3;-999;-999;eor
       1443;2007061412;    3;-999;-999;eor
       1443;2007061418;    3;-999;-999;eor
       1443;2007061506;    3;-999;-999;eor
       1443;2007061512;    3;-999;-999;eor
       1443;2007061518;    3;-999;-999;eor
       1443;2007061606;    3;-999;-999;eor
       1443;2007061612;    3;-999;-999;eor
       1443;2007061618;    3;-999;-999;eor
       1443;2007061706;    3;-999;-999;eor
       1443;2007061712;    3;-999;-999;eor
       1443;2007061718;    3;-999;-999;eor
       1443;2007061806;    3;-999;-999;eor
       1443;2007061812;    3;-999;-999;eor
       1443;2007061818;    3;-999;-999;eor
       1443;2007061906;    3;-999;-999;eor
       1443;2007061912;    3;-999;-999;eor
       1443;2007061918;    3;-999;-999;eor
       1443;2007062006;    3;-999;-999;eor
       1443;2007062012;    3;-999;-999;eor
       1443;2007062018;    3;-999;-999;eor
       1443;2007062106;    3;-999;-999;eor
