Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Apr 14, 2015;Apr 15, 2015;11,712.00;13,277.00;1,407.50;29,013.75;216.00;64,272.00;25,434.50;311.25;8,874.00;3,419.25
Apr 15, 2015;Apr 16, 2015;11,712.00;13,111.75;1,391.50;29,615.50;216.00;64,194.00;10,737.00;1,438.75;11,219.50;3,391.75
Apr 16, 2015;Apr 17, 2015;11,712.00;12,863.50;2,151.75;20,622.50;216.00;64,090.25;39,921.00;0.00;10,241.50;3,192.00
Apr 17, 2015;Apr 18, 2015;11,712.00;12,762.50;1,911.50;10,571.75;216.00;64,234.00;56,000.25;0.00;9,350.25;3,192.00
Apr 18, 2015;Apr 19, 2015;11,712.00;14,555.50;1,698.25;27,306.00;216.00;63,832.00;5,666.25;0.00;7,248.00;3,192.00
Apr 19, 2015;Apr 20, 2015;11,712.00;14,111.25;3,742.75;31,807.75;216.00;63,203.00;4,410.25;0.00;5,669.00;3,192.00
Apr 20, 2015;Apr 21, 2015;11,712.00;13,577.50;1,113.25;30,939.00;216.00;64,360.25;17,975.25;0.00;9,816.25;3,192.00
Apr 21, 2015;Apr 22, 2015;11,974.75;13,311.50;703.25;31,371.50;216.00;64,027.50;8,889.75;0.00;9,515.75;3,192.00
Apr 22, 2015;Apr 23, 2015;12,216.00;13,345.25;2,078.25;31,424.75;216.00;64,213.25;48,739.00;0.00;7,057.00;3,192.00
Apr 23, 2015;Apr 24, 2015;12,216.00;12,996.25;269.50;30,589.25;216.00;64,407.50;53,264.50;0.00;7,635.50;3,192.00
Apr 24, 2015;Apr 25, 2015;12,216.00;12,432.00;502.50;31,940.25;216.00;64,434.50;43,988.50;0.00;8,737.75;3,192.00
Apr 25, 2015;Apr 26, 2015;12,216.00;11,934.50;1,962.50;11,932.25;216.00;64,196.25;607.25;0.00;6,482.25;3,192.00
Apr 26, 2015;Apr 27, 2015;12,216.00;12,022.00;1,013.25;23,790.25;216.00;63,940.75;117.00;0.00;6,520.00;3,192.00
Apr 27, 2015;Apr 28, 2015;12,216.00;13,270.75;1,761.25;19,575.25;216.00;64,435.25;38,412.25;0.00;8,882.50;3,192.00
Apr 28, 2015;Apr 29, 2015;12,216.00;14,453.25;3,581.00;13,077.50;216.00;64,635.00;55,727.25;0.00;8,713.50;3,192.00
Apr 29, 2015;Apr 30, 2015;12,216.00;15,477.00;973.25;29,461.00;216.00;64,194.00;37,426.25;651.75;7,238.50;3,192.00
Apr 30, 2015;May 1, 2015;12,216.00;14,819.00;2,224.75;21,571.25;216.00;64,101.75;44,379.75;0.00;8,996.75;3,192.00
May 1, 2015;May 2, 2015;12,216.00;14,788.75;848.75;5,749.25;216.00;64,049.50;382.50;0.00;7,624.25;3,192.00
May 2, 2015;May 3, 2015;12,216.00;13,151.50;257.75;13,913.75;216.00;63,810.50;920.25;0.00;5,532.00;3,192.00
May 3, 2015;May 4, 2015;12,216.00;12,993.75;1,886.25;7,683.00;216.00;63,073.00;0.00;0.00;8,096.00;3,192.00
May 4, 2015;May 5, 2015;12,216.00;12,864.75;1,954.25;20,640.00;216.00;64,125.50;24,540.75;0.00;10,791.75;3,192.00
May 5, 2015;May 6, 2015;12,216.00;13,555.50;3,881.75;12,334.50;216.00;63,497.50;1,330.75;0.00;16,710.25;3,393.25
May 6, 2015;May 7, 2015;12,216.00;13,022.50;1,737.75;22,883.50;216.00;64,471.50;723.75;0.00;11,115.25;3,192.00
May 7, 2015;May 8, 2015;12,216.00;13,075.25;1,657.25;28,957.75;216.00;64,629.50;16,306.50;0.00;11,914.75;3,192.00
May 8, 2015;May 9, 2015;12,216.00;12,877.75;1,370.50;28,915.75;216.00;64,385.25;12,775.75;0.00;8,025.75;3,192.00
May 9, 2015;May 10, 2015;12,216.00;13,365.75;3,496.25;19,627.25;216.00;64,436.75;327.00;0.00;8,771.75;3,192.00
May 10, 2015;May 11, 2015;12,216.00;14,241.75;1,628.00;28,519.25;216.00;53,219.00;131.25;0.00;8,973.75;3,192.00
May 11, 2015;May 12, 2015;12,216.00;13,906.75;1,462.00;28,555.25;216.00;64,439.50;11,927.50;0.00;13,608.50;3,192.00
May 12, 2015;May 13, 2015;12,216.00;13,986.25;2,575.25;28,632.75;216.00;64,072.00;5,926.50;0.00;11,402.75;3,192.00
May 13, 2015;May 14, 2015;12,216.00;14,221.50;779.25;26,856.00;216.00;64,488.25;3,867.00;17.75;13,035.25;3,192.00
May 14, 2015;May 15, 2015;12,216.00;14,011.75;772.50;20,176.25;216.00;64,276.00;83.75;0.00;8,189.50;3,192.00
May 15, 2015;May 16, 2015;12,216.00;14,579.00;1,323.50;10,067.00;216.00;64,040.75;1,376.00;0.00;12,371.75;3,192.00
May 16, 2015;May 17, 2015;12,216.00;14,490.25;1,184.75;27,825.00;216.00;63,864.00;886.25;0.00;7,208.00;3,192.00
May 17, 2015;May 18, 2015;12,216.00;14,691.25;690.00;23,763.25;216.00;60,942.00;152.75;0.00;8,379.75;3,192.00
May 18, 2015;May 19, 2015;12,216.00;14,974.50;997.25;32,985.00;216.00;63,652.50;1,364.25;0.00;7,726.25;3,192.00
May 19, 2015;May 20, 2015;12,216.00;14,523.00;1,914.25;14,587.25;216.00;63,464.75;135.75;0.00;12,346.25;3,192.00
May 20, 2015;May 21, 2015;12,216.00;14,832.00;590.00;14,793.25;216.00;63,906.25;24,209.50;0.00;14,459.50;3,192.00
May 21, 2015;May 22, 2015;12,216.00;14,996.25;1,165.25;23,799.50;216.00;63,753.75;29,122.50;0.00;14,969.00;3,192.00
May 22, 2015;May 23, 2015;12,216.00;16,119.75;955.25;30,158.75;216.00;63,680.50;33,059.50;0.00;10,783.75;3,192.00
May 23, 2015;May 24, 2015;12,216.00;16,421.25;1,155.25;22,478.75;216.00;63,088.25;6,109.25;0.00;8,178.00;3,192.00
May 24, 2015;May 25, 2015;12,216.00;16,742.25;459.75;18,756.50;216.00;58,303.25;147.75;0.00;8,202.25;3,192.00
May 25, 2015;May 26, 2015;12,216.00;16,100.00;608.50;16,477.25;216.00;62,511.50;172.00;0.00;9,997.25;3,192.00
May 26, 2015;May 27, 2015;12,216.00;14,167.75;1,030.00;14,319.00;216.00;62,903.50;26,812.25;0.00;12,155.75;3,192.00
May 27, 2015;May 28, 2015;12,216.00;11,340.00;443.25;21,191.50;216.00;62,836.50;39,666.75;0.00;12,759.25;3,192.00
May 28, 2015;May 29, 2015;12,216.00;10,963.75;1,011.00;30,334.50;216.00;62,572.25;24,731.00;0.00;9,363.25;3,192.00
May 29, 2015;May 30, 2015;12,216.00;10,536.75;1,196.50;22,442.00;216.00;62,517.75;19,905.50;0.00;10,380.25;3,213.25
May 30, 2015;May 31, 2015;12,216.00;10,907.75;2,806.00;17,225.50;216.00;62,189.25;4,836.25;0.00;11,261.50;3,192.00
May 31, 2015;Jun 1, 2015;12,216.00;10,110.00;966.50;26,564.00;216.00;60,236.75;2,400.25;0.00;9,153.25;3,192.00
Jun 1, 2015;Jun 2, 2015;12,216.00;10,672.00;1,816.75;18,782.75;216.00;61,723.25;26,549.50;0.00;10,938.50;3,192.00
Jun 2, 2015;Jun 3, 2015;12,216.00;12,894.50;2,985.75;28,852.00;216.00;60,939.25;1,527.00;0.00;8,881.50;3,192.00
Jun 3, 2015;Jun 4, 2015;12,216.00;14,517.50;2,516.50;32,272.25;216.00;61,313.00;5,179.50;0.00;15,829.00;3,192.00
Jun 4, 2015;Jun 5, 2015;12,216.00;13,828.50;513.00;33,761.50;216.00;61,122.00;5,007.00;0.00;9,865.75;3,192.00
Jun 5, 2015;Jun 6, 2015;12,216.00;13,416.50;1,277.25;32,763.25;216.00;60,656.25;6,915.75;0.00;16,214.00;3,192.00
Jun 6, 2015;Jun 7, 2015;12,216.00;13,773.25;1,578.75;29,144.25;216.00;60,414.50;1,821.50;0.00;11,037.75;3,192.00
Jun 7, 2015;Jun 8, 2015;12,216.00;14,054.75;955.75;29,597.50;216.00;59,399.00;2,076.75;0.00;10,779.00;3,192.00
Jun 8, 2015;Jun 9, 2015;12,216.00;14,456.25;2,489.00;9,096.50;216.00;60,947.00;10,989.50;0.00;12,891.25;3,192.00
Jun 9, 2015;Jun 10, 2015;12,216.00;15,161.75;2,179.50;9,537.50;216.00;61,158.50;29,832.00;0.00;15,516.25;3,192.00
Jun 10, 2015;Jun 11, 2015;12,216.00;15,379.00;1,250.75;13,660.50;216.00;61,024.25;32,416.50;0.00;13,339.00;3,391.50
Jun 11, 2015;Jun 12, 2015;12,216.00;14,984.50;686.75;27,252.75;216.00;60,680.00;35,332.75;0.00;14,414.25;3,192.00
Jun 12, 2015;Jun 13, 2015;12,216.00;14,321.25;503.25;28,607.00;216.00;60,318.75;32,100.25;0.00;13,191.75;3,192.00
Jun 13, 2015;Jun 14, 2015;12,216.00;15,054.50;1,634.50;24,757.00;216.00;59,350.50;6,466.25;0.00;10,699.25;3,192.00
Jun 14, 2015;Jun 15, 2015;12,216.00;14,836.00;442.25;28,074.75;216.00;59,407.00;2,396.75;0.00;8,479.00;3,192.00
Jun 15, 2015;Jun 16, 2015;12,216.00;15,134.25;742.25;15,493.50;216.00;58,956.75;21,957.75;0.00;11,539.25;3,192.00
Jun 16, 2015;Jun 17, 2015;12,216.00;15,744.50;1,012.75;19,921.75;216.00;58,845.75;31,651.00;0.00;11,751.25;3,192.00
Jun 17, 2015;Jun 18, 2015;12,216.00;16,171.50;827.50;31,169.00;216.00;58,947.00;22,375.00;0.00;11,740.25;3,192.00
Jun 18, 2015;Jun 19, 2015;12,216.00;15,872.75;2,839.75;9,043.00;216.00;58,684.00;30,200.00;0.00;11,391.50;3,192.00
Jun 19, 2015;Jun 20, 2015;12,216.00;15,980.75;2,315.50;20,255.00;216.00;45,658.75;24,247.00;0.00;9,555.50;3,192.00
Jun 20, 2015;Jun 21, 2015;12,216.00;16,462.75;1,268.75;14,806.75;216.00;31,274.75;6,378.75;0.00;6,966.50;3,192.00
Jun 21, 2015;Jun 22, 2015;12,216.00;16,566.25;1,026.25;16,768.50;216.00;31,196.75;3,796.00;0.00;8,218.00;3,192.00
Jun 22, 2015;Jun 23, 2015;12,216.00;15,839.75;3,252.00;13,818.25;216.00;31,185.75;37,186.75;0.00;13,762.00;3,192.00
Jun 23, 2015;Jun 24, 2015;12,265.00;14,103.75;4,531.50;20,264.75;216.00;31,381.25;49,110.25;0.00;7,407.00;3,192.00
Jun 24, 2015;Jun 25, 2015;12,336.00;14,861.25;348.25;28,299.50;216.00;31,259.75;48,057.00;0.00;11,396.50;3,192.00
Jun 25, 2015;Jun 26, 2015;12,336.00;13,946.75;187.25;29,294.00;216.00;31,149.00;54,539.75;0.00;10,217.50;3,192.00
