Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Aug 12, 2015;Aug 13, 2015;173,885.25;146,613.50;6,579.00
Aug 13, 2015;Aug 14, 2015;173,586.75;143,269.75;11,227.00
Aug 14, 2015;Aug 15, 2015;168,514.50;148,485.50;6,809.25
Aug 15, 2015;Aug 16, 2015;131,696.00;114,908.50;7,097.25
Aug 16, 2015;Aug 17, 2015;114,971.75;104,922.75;5,662.75
Aug 17, 2015;Aug 18, 2015;159,823.25;147,402.75;9,183.00
Aug 18, 2015;Aug 19, 2015;163,814.50;141,444.00;7,599.00
Aug 19, 2015;Aug 20, 2015;163,688.00;151,859.00;6,558.75
Aug 20, 2015;Aug 21, 2015;163,198.50;145,477.00;8,262.50
Aug 21, 2015;Aug 22, 2015;161,816.75;134,825.25;7,847.50
Aug 22, 2015;Aug 23, 2015;131,266.75;100,764.50;8,569.75
Aug 23, 2015;Aug 24, 2015;117,683.75;93,508.75;13,245.25
Aug 24, 2015;Aug 25, 2015;167,967.75;152,261.25;6,839.75
Aug 25, 2015;Aug 26, 2015;170,356.50;137,505.50;12,491.75
Aug 26, 2015;Aug 27, 2015;174,682.25;143,735.25;11,545.00
Aug 27, 2015;Aug 28, 2015;175,449.00;145,367.75;6,067.75
Aug 28, 2015;Aug 29, 2015;174,307.75;156,144.00;8,138.25
Aug 29, 2015;Aug 30, 2015;140,279.75;112,112.75;9,188.25
Aug 30, 2015;Aug 31, 2015;124,262.75;96,621.00;8,503.75
Aug 31, 2015;Sep 1, 2015;177,889.25;149,960.00;5,274.25
Sep 1, 2015;Sep 2, 2015;182,324.00;167,486.50;8,541.25
Sep 2, 2015;Sep 3, 2015;177,052.75;157,958.50;9,950.00
Sep 3, 2015;Sep 4, 2015;175,151.50;160,685.25;6,021.25
Sep 4, 2015;Sep 5, 2015;171,506.75;148,147.25;9,476.00
Sep 5, 2015;Sep 6, 2015;135,443.75;116,086.75;13,018.75
Sep 6, 2015;Sep 7, 2015;120,797.25;100,027.75;18,317.75
Sep 7, 2015;Sep 8, 2015;172,212.75;157,211.50;6,961.00
Sep 8, 2015;Sep 9, 2015;178,894.50;159,054.00;8,707.50
Sep 9, 2015;Sep 10, 2015;178,593.25;151,556.75;9,931.00
Sep 10, 2015;Sep 11, 2015;177,495.00;148,628.75;9,106.00
Sep 11, 2015;Sep 12, 2015;174,608.25;148,777.25;6,092.50
Sep 12, 2015;Sep 13, 2015;140,049.25;116,846.00;9,939.75
Sep 13, 2015;Sep 14, 2015;122,194.50;109,357.00;9,270.25
Sep 14, 2015;Sep 15, 2015;176,668.25;159,083.25;8,794.00
Sep 15, 2015;Sep 16, 2015;182,525.25;166,987.50;9,898.75
Sep 16, 2015;Sep 17, 2015;184,293.00;173,295.00;8,786.25
Sep 17, 2015;Sep 18, 2015;182,967.25;173,402.50;10,592.00
Sep 18, 2015;Sep 19, 2015;176,752.25;163,676.25;10,099.00
Sep 19, 2015;Sep 20, 2015;139,553.25;122,196.25;8,741.75
Sep 20, 2015;Sep 21, 2015;122,935.25;109,546.50;17,254.25
Sep 21, 2015;Sep 22, 2015;178,069.25;152,371.00;8,277.00
