Beginn-UTC,Ende-UTC,Beginn-Lokalzeit,Ende-Lokalzeit,Globalstrahlung (W/m²)
2018-10-16 00:00:00,2018-10-17 00:00:00,2018-10-16 02:00:00,2018-10-17 02:00:00,142.9395
2018-10-17 00:00:00,2018-10-18 00:00:00,2018-10-17 02:00:00,2018-10-18 02:00:00,137.2778
2018-10-18 00:00:00,2018-10-19 00:00:00,2018-10-18 02:00:00,2018-10-19 02:00:00,112.3277
2018-10-19 00:00:00,2018-10-20 00:00:00,2018-10-19 02:00:00,2018-10-20 02:00:00,67.57909
2018-10-20 00:00:00,2018-10-21 00:00:00,2018-10-20 02:00:00,2018-10-21 02:00:00,92.90302
2018-10-21 00:00:00,2018-10-22 00:00:00,2018-10-21 02:00:00,2018-10-22 02:00:00,71.97412
2018-10-22 00:00:00,2018-10-23 00:00:00,2018-10-22 02:00:00,2018-10-23 02:00:00,137.3566
2018-10-23 00:00:00,2018-10-24 00:00:00,2018-10-23 02:00:00,2018-10-24 02:00:00,81.35269
2018-10-24 00:00:00,2018-10-25 00:00:00,2018-10-24 02:00:00,2018-10-25 02:00:00,22.37715
2018-10-25 00:00:00,2018-10-26 00:00:00,2018-10-25 02:00:00,2018-10-26 02:00:00,122.3207
2018-10-26 00:00:00,2018-10-27 00:00:00,2018-10-26 02:00:00,2018-10-27 02:00:00,114.8424
2018-10-27 00:00:00,2018-10-28 00:00:00,2018-10-27 02:00:00,2018-10-28 02:00:00,23.80579
2018-10-28 01:00:00,2018-10-29 00:00:00,2018-10-28 02:00:00,2018-10-29 01:00:00,26.37577
2018-10-29 00:00:00,2018-10-30 00:00:00,2018-10-29 01:00:00,2018-10-30 01:00:00,49.04808
2018-10-30 00:00:00,2018-10-31 00:00:00,2018-10-30 01:00:00,2018-10-31 01:00:00,26.80007
2018-10-31 00:00:00,2018-11-01 00:00:00,2018-10-31 01:00:00,2018-11-01 01:00:00,37.80688
2018-11-01 00:00:00,2018-11-02 00:00:00,2018-11-01 01:00:00,2018-11-02 01:00:00,90.25522
2018-11-02 00:00:00,2018-11-03 00:00:00,2018-11-02 01:00:00,2018-11-03 01:00:00,49.5986
2018-11-03 00:00:00,2018-11-04 00:00:00,2018-11-03 01:00:00,2018-11-04 01:00:00,92.44042
2018-11-04 00:00:00,2018-11-05 00:00:00,2018-11-04 01:00:00,2018-11-05 01:00:00,58.03646
2018-11-05 00:00:00,2018-11-06 00:00:00,2018-11-05 01:00:00,2018-11-06 01:00:00,47.99037
2018-11-06 00:00:00,2018-11-07 00:00:00,2018-11-06 01:00:00,2018-11-07 01:00:00,23.4289
2018-11-07 00:00:00,2018-11-08 00:00:00,2018-11-07 01:00:00,2018-11-08 01:00:00,88.56253
2018-11-08 00:00:00,2018-11-09 00:00:00,2018-11-08 01:00:00,2018-11-09 01:00:00,51.00787
2018-11-09 00:00:00,2018-11-10 00:00:00,2018-11-09 01:00:00,2018-11-10 01:00:00,84.90194
2018-11-10 00:00:00,2018-11-11 00:00:00,2018-11-10 01:00:00,2018-11-11 01:00:00,49.43912
2018-11-11 00:00:00,2018-11-12 00:00:00,2018-11-11 01:00:00,2018-11-12 01:00:00,44.69306
2018-11-12 00:00:00,2018-11-13 00:00:00,2018-11-12 01:00:00,2018-11-13 01:00:00,77.95457
2018-11-13 00:00:00,2018-11-14 00:00:00,2018-11-13 01:00:00,2018-11-14 01:00:00,30.87436
2018-11-14 00:00:00,2018-11-15 00:00:00,2018-11-14 01:00:00,2018-11-15 01:00:00,82.87264
2018-11-15 00:00:00,2018-11-16 00:00:00,2018-11-15 01:00:00,2018-11-16 01:00:00,24.30635
2018-11-16 00:00:00,2018-11-17 00:00:00,2018-11-16 01:00:00,2018-11-17 01:00:00,2.910606
