STATIONS_ID;MESS_DATUM;QN_4;DK_TER;FK_TER;eor
       5100;2024031612;    9;  24;   3;eor
       5100;2024031618;    9;  32;   1;eor
       5100;2024031706;    9;   4;   2;eor
       5100;2024031712;    9;  24;   2;eor
       5100;2024031718;    9;  16;   3;eor
       5100;2024031806;    9;  16;   1;eor
       5100;2024031812;    9;  24;   2;eor
       5100;2024031818;    9;  20;   2;eor
       5100;2024031906;    9;  12;   1;eor
       5100;2024031912;    9;  32;   2;eor
       5100;2024031918;    9;  12;   1;eor
       5100;2024032006;    9;  32;   2;eor
       5100;2024032012;    9;  28;   1;eor
       5100;2024032018;    9;   4;   2;eor
       5100;2024032106;    9;  16;   1;eor
       5100;2024032112;    9;  28;   2;eor
       5100;2024032118;    9;  28;   2;eor
       5100;2024032206;    9;  20;   2;eor
       5100;2024032212;    9;  20;   4;eor
       5100;2024032218;    9;  20;   3;eor
       5100;2024032306;    9;  24;   2;eor
       5100;2024032312;    9;  20;   3;eor
       5100;2024032318;    9;  20;   3;eor
       5100;2024032406;    9;  20;   4;eor
       5100;2024032412;    9;  24;   4;eor
       5100;2024032418;    9;  24;   3;eor
       5100;2024032506;    9;  20;   1;eor
       5100;2024032512;    9;  12;   3;eor
       5100;2024032518;    9;   8;   2;eor
       5100;2024032606;    9;  16;   3;eor
       5100;2024032612;    9;  12;   3;eor
       5100;2024032618;    9;   4;   2;eor
       5100;2024032706;    9;  24;   2;eor
       5100;2024032712;    9;  20;   3;eor
       5100;2024032718;    9;  16;   4;eor
       5100;2024032806;    9;  20;   6;eor
       5100;2024032812;    9;  20;   5;eor
       5100;2024032818;    9;  16;   5;eor
       5100;2024032906;    9;  20;   4;eor
       5100;2024032912;    9;  16;   5;eor
       5100;2024032918;    9;   4;   2;eor
       5100;2024033006;    9;  20;   1;eor
       5100;2024033012;    9;  16;   4;eor
       5100;2024033018;    9;  20;   2;eor
       5100;2024033106;    9;   4;   3;eor
       5100;2024033112;    9;   8;   2;eor
       5100;2024033118;    9;  16;   4;eor
       5100;2024040106;    9;  20;   3;eor
       5100;2024040112;    9;  20;   3;eor
       5100;2024040118;    9;  20;   4;eor
       5100;2024040206;    9;  20;   4;eor
       5100;2024040212;    9;  20;   5;eor
       5100;2024040218;    9;  20;   4;eor
       5100;2024040306;    9;  20;   3;eor
       5100;2024040312;    9;  16;   4;eor
       5100;2024040318;    9;  20;   4;eor
       5100;2024040406;    9;  16;   6;eor
       5100;2024040412;    9;  20;   5;eor
       5100;2024040418;    9;  16;   2;eor
       5100;2024040506;    9;  20;   2;eor
       5100;2024040512;    9;  20;   5;eor
       5100;2024040518;    9;  20;   4;eor
       5100;2024040606;    9;  20;   2;eor
       5100;2024040612;    9;  16;   4;eor
       5100;2024040618;    9;  16;   3;eor
       5100;2024040706;    9;  20;   2;eor
       5100;2024040712;    9;  20;   3;eor
       5100;2024040718;    9;  32;   2;eor
       5100;2024040806;    9;   8;   1;eor
       5100;2024040812;    9;  20;   3;eor
